run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.05,1.06,,
2,1.04,1.03,,
3,1.05,1.1,1.05,1.06
4,1.07,1.06,1.05,1.06
5,1.01,1.06,1.04,1.07
6,1.05,1.04,1.04,1.05
7,1.03,1.1,1.03,1.07
8,1.09,1.07,1.06,1.07
9,1.04,1.09,1.05,1.09
10,1.06,1.0,1.06,1.05
11,1.07,1.07,1.06,1.05
12,1.09,1.05,1.07,1.04
13,1.07,1.07,1.08,1.06
14,1.06,1.06,1.07,1.06
15,1.06,1.01,1.06,1.05
16,1.03,1.05,1.05,1.04
17,1.09,1.1,1.06,1.05
18,1.07,1.01,1.06,1.05
19,1.06,1.03,1.07,1.05
20,1.11,1.09,1.08,1.04
21,1.05,1.1,1.07,1.07
22,1.06,1.1,1.07,1.1
23,1.1,1.11,1.07,1.1
24,1.04,1.06,1.07,1.09
25,1.06,1.07,1.07,1.08
26,1.09,1.09,1.06,1.07
27,1.09,1.07,1.08,1.08
28,1.09,1.06,1.09,1.07
29,1.06,1.06,1.08,1.06
30,1.04,1.09,1.06,1.07
31,1.05,1.04,1.05,1.06
32,1.07,1.05,1.05,1.06
33,1.04,1.06,1.05,1.05
34,1.04,1.06,1.05,1.06
35,1.05,1.06,1.04,1.06
36,1.06,1.05,1.05,1.06
37,1.06,1.07,1.06,1.06
38,1.06,1.06,1.06,1.06
39,1.07,1.1,1.06,1.08
40,1.03,1.05,1.05,1.07
41,1.04,1.04,1.05,1.06
42,1.05,1.1,1.04,1.06
43,1.05,1.02,1.05,1.05
44,1.04,1.05,1.05,1.06
45,1.1,1.09,1.06,1.05
46,1.04,1.07,1.06,1.07
47,1.09,1.07,1.08,1.08
48,0.98,1.04,1.04,1.06
49,1.05,1.05,1.04,1.05
50,1.06,1.05,1.03,1.05
