run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.61,1.63,,
2,1.55,1.59,,
3,1.61,1.59,1.59,1.6
4,1.63,1.63,1.6,1.6
5,1.63,1.59,1.62,1.6
6,1.57,1.57,1.61,1.6
7,1.57,1.67,1.59,1.61
8,1.59,1.55,1.58,1.6
9,1.59,1.59,1.58,1.6
10,1.51,1.63,1.56,1.59
11,1.49,1.53,1.53,1.58
12,1.55,1.55,1.52,1.57
13,1.55,1.63,1.53,1.57
14,1.57,1.59,1.56,1.59
15,1.61,1.55,1.58,1.59
16,1.55,1.63,1.58,1.59
17,1.49,1.53,1.55,1.57
18,1.61,1.59,1.55,1.58
19,1.61,1.45,1.57,1.52
20,1.61,1.53,1.61,1.52
21,1.55,1.59,1.59,1.52
22,1.51,1.61,1.56,1.58
23,1.57,1.59,1.54,1.6
24,1.59,1.57,1.56,1.59
25,1.69,1.61,1.62,1.59
26,1.63,1.53,1.64,1.57
27,1.55,1.59,1.62,1.58
28,1.63,1.61,1.6,1.58
29,1.55,1.49,1.58,1.56
30,1.65,1.55,1.61,1.55
31,1.55,1.61,1.58,1.55
32,1.53,1.59,1.58,1.58
33,1.55,1.61,1.54,1.6
34,1.61,1.59,1.56,1.6
35,1.59,1.55,1.58,1.58
36,1.65,1.55,1.62,1.56
37,1.57,1.55,1.6,1.55
38,1.53,1.59,1.58,1.56
39,1.57,1.61,1.56,1.58
40,1.59,1.57,1.56,1.59
41,1.57,1.57,1.58,1.58
42,1.51,1.57,1.56,1.57
43,1.53,1.59,1.54,1.58
44,1.53,1.59,1.52,1.58
45,1.59,1.57,1.55,1.58
46,1.53,1.59,1.55,1.58
47,1.61,1.53,1.58,1.56
48,1.63,1.57,1.59,1.56
49,1.55,1.61,1.6,1.57
50,1.51,1.57,1.56,1.58
