run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.05,1.05,,
2,1.09,1.04,,
3,1.07,1.06,1.07,1.05
4,1.07,1.07,1.08,1.06
5,1.02,1.06,1.05,1.06
6,1.11,1.06,1.07,1.06
7,1.05,1.1,1.06,1.07
8,1.05,1.05,1.07,1.07
9,1.05,1.07,1.05,1.07
10,1.03,1.04,1.04,1.05
11,1.03,1.01,1.04,1.04
12,1.03,1.02,1.03,1.02
13,1.07,1.1,1.04,1.04
14,1.04,1.03,1.05,1.05
15,1.09,1.02,1.07,1.05
16,1.02,1.09,1.05,1.05
17,1.04,1.06,1.05,1.06
18,1.07,1.03,1.04,1.06
19,1.04,1.1,1.05,1.06
20,1.02,1.07,1.04,1.07
21,1.05,1.06,1.04,1.08
22,1.07,1.04,1.05,1.06
23,1.05,1.07,1.06,1.06
24,1.06,1.05,1.06,1.05
25,1.06,1.06,1.06,1.06
26,1.06,1.05,1.06,1.05
27,1.05,1.06,1.06,1.06
28,1.05,1.07,1.05,1.06
29,1.05,1.05,1.05,1.06
30,1.06,1.04,1.05,1.05
31,1.03,1.07,1.05,1.05
32,1.06,1.1,1.05,1.07
33,1.07,1.06,1.05,1.08
34,0.97,1.03,1.03,1.06
35,1.07,1.06,1.04,1.05
36,1.05,1.05,1.03,1.05
37,1.05,1.09,1.06,1.07
38,1.06,1.04,1.05,1.06
39,1.09,1.07,1.07,1.07
40,1.11,1.06,1.09,1.06
41,1.09,1.11,1.1,1.08
42,1.04,1.06,1.08,1.08
43,1.07,1.07,1.07,1.08
44,1.1,1.1,1.07,1.08
45,1.13,1.1,1.1,1.09
46,1.07,1.04,1.1,1.08
47,1.06,1.09,1.09,1.08
48,1.1,1.03,1.08,1.05
49,1.04,1.09,1.07,1.07
50,1.06,1.07,1.07,1.06
