run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.57,1.59,,
2,1.55,1.57,,
3,1.55,1.53,1.56,1.56
4,1.59,1.59,1.56,1.56
5,1.59,1.63,1.58,1.58
6,1.65,1.53,1.61,1.58
7,1.57,1.57,1.6,1.58
8,1.61,1.53,1.61,1.54
9,1.55,1.53,1.58,1.54
10,1.53,1.55,1.56,1.54
11,1.55,1.53,1.54,1.54
12,1.57,1.57,1.55,1.55
13,1.63,1.59,1.58,1.56
14,1.51,1.59,1.57,1.58
15,1.59,1.63,1.58,1.6
16,1.51,1.59,1.54,1.6
17,1.59,1.57,1.56,1.6
18,1.65,1.67,1.58,1.61
19,1.57,1.47,1.6,1.57
20,1.59,1.63,1.6,1.59
21,1.57,1.41,1.58,1.5
22,1.51,1.53,1.56,1.52
23,1.57,1.57,1.55,1.5
24,1.47,1.61,1.52,1.57
25,1.59,1.59,1.54,1.59
26,1.55,1.53,1.54,1.58
27,1.57,1.53,1.57,1.55
28,1.55,1.55,1.56,1.54
29,1.57,1.63,1.56,1.57
30,1.53,1.53,1.55,1.57
31,1.57,1.61,1.56,1.59
32,1.65,1.55,1.58,1.56
33,1.59,1.53,1.6,1.56
34,1.57,1.59,1.6,1.56
35,1.51,1.63,1.56,1.58
36,1.55,1.51,1.54,1.58
37,1.55,1.55,1.54,1.56
38,1.57,1.55,1.56,1.54
39,1.65,1.59,1.59,1.56
40,1.55,1.53,1.59,1.56
41,1.53,1.51,1.58,1.54
42,1.63,1.57,1.57,1.54
43,1.61,1.55,1.59,1.54
44,1.57,1.53,1.6,1.55
45,1.57,1.59,1.58,1.56
46,1.57,1.53,1.57,1.55
47,1.59,1.57,1.58,1.56
48,1.61,1.63,1.59,1.58
49,1.59,1.55,1.6,1.58
50,1.65,1.63,1.62,1.6
