run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.47,0.44,,
2,0.47,0.42,,
3,0.45,0.5,0.46,0.45
4,0.46,0.5,0.46,0.47
5,0.47,0.46,0.46,0.49
6,0.46,0.51,0.46,0.49
7,0.46,0.46,0.46,0.48
8,0.47,0.48,0.46,0.48
9,0.47,0.5,0.47,0.48
10,0.47,0.5,0.47,0.49
11,0.47,0.43,0.47,0.48
12,0.47,0.43,0.47,0.45
13,0.46,0.49,0.47,0.45
14,0.46,0.42,0.46,0.45
15,0.46,0.43,0.46,0.45
16,0.46,0.42,0.46,0.42
17,0.46,0.5,0.46,0.45
18,0.46,0.46,0.46,0.46
19,0.46,0.49,0.46,0.48
20,0.46,0.44,0.46,0.46
21,0.46,0.5,0.46,0.48
22,0.47,0.43,0.46,0.46
23,0.46,0.49,0.46,0.47
24,0.47,0.42,0.47,0.45
25,0.46,0.47,0.46,0.46
26,0.47,0.49,0.47,0.46
27,0.46,0.5,0.46,0.49
28,0.46,0.51,0.46,0.5
29,0.46,0.45,0.46,0.49
30,0.46,0.51,0.46,0.49
31,0.46,0.5,0.46,0.49
32,0.47,0.5,0.46,0.5
33,0.47,0.5,0.47,0.5
34,0.46,0.46,0.47,0.49
35,0.47,0.5,0.47,0.49
36,0.47,0.42,0.47,0.46
37,0.47,0.5,0.47,0.47
38,0.47,0.42,0.47,0.45
39,0.46,0.48,0.47,0.47
40,0.46,0.43,0.46,0.44
41,0.47,0.43,0.46,0.45
42,0.46,0.5,0.46,0.45
43,0.46,0.5,0.46,0.48
44,0.47,0.43,0.46,0.48
45,0.46,0.48,0.46,0.47
46,0.46,0.49,0.46,0.47
47,0.46,0.5,0.46,0.49
48,0.46,0.5,0.46,0.5
49,0.47,0.42,0.46,0.47
50,0.46,0.5,0.46,0.47
