run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.47,0.48,,
2,0.47,0.42,,
3,0.46,0.47,0.47,0.46
4,0.46,0.49,0.46,0.46
5,0.47,0.5,0.46,0.49
6,0.47,0.5,0.47,0.5
7,0.47,0.46,0.47,0.49
8,0.47,0.45,0.47,0.47
9,0.46,0.48,0.47,0.46
10,0.46,0.45,0.46,0.46
11,0.47,0.42,0.46,0.45
12,0.46,0.5,0.46,0.46
13,0.46,0.45,0.46,0.46
14,0.46,0.49,0.46,0.48
15,0.47,0.49,0.46,0.48
16,0.46,0.42,0.46,0.47
17,0.46,0.47,0.46,0.46
18,0.46,0.43,0.46,0.44
19,0.46,0.45,0.46,0.45
20,0.47,0.48,0.46,0.45
21,0.46,0.48,0.46,0.47
22,0.47,0.42,0.47,0.46
23,0.47,0.48,0.47,0.46
24,0.47,0.44,0.47,0.45
25,0.46,0.51,0.47,0.48
26,0.46,0.46,0.46,0.47
27,0.46,0.5,0.46,0.49
28,0.46,0.46,0.46,0.47
29,0.47,0.47,0.46,0.48
30,0.46,0.51,0.46,0.48
31,0.46,0.49,0.46,0.49
32,0.46,0.42,0.46,0.47
33,0.46,0.5,0.46,0.47
34,0.47,0.5,0.46,0.47
35,0.46,0.49,0.46,0.5
36,0.46,0.46,0.46,0.48
37,0.47,0.42,0.46,0.46
38,0.47,0.47,0.47,0.45
39,0.46,0.47,0.47,0.45
40,0.47,0.45,0.47,0.46
41,0.46,0.51,0.46,0.48
42,0.46,0.42,0.46,0.46
43,0.47,0.45,0.46,0.46
44,0.47,0.46,0.47,0.44
45,0.47,0.5,0.47,0.47
46,0.46,0.42,0.47,0.46
47,0.46,0.49,0.46,0.47
48,0.46,0.49,0.46,0.47
49,0.46,0.47,0.46,0.48
50,0.47,0.5,0.46,0.49
