run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.67,1.45,,
2,1.72,1.94,,
3,1.71,1.45,1.7,1.61
4,1.73,1.91,1.72,1.77
5,1.69,1.44,1.71,1.6
6,1.7,1.94,1.71,1.76
7,1.73,1.94,1.71,1.77
8,1.7,1.95,1.71,1.94
9,1.66,1.93,1.7,1.94
10,1.65,1.44,1.67,1.77
11,1.66,1.95,1.66,1.77
12,1.67,1.92,1.66,1.77
13,1.67,1.95,1.67,1.94
14,1.71,1.9,1.68,1.92
15,1.68,1.89,1.69,1.91
16,1.65,1.96,1.68,1.92
17,1.67,1.96,1.67,1.94
18,1.68,1.45,1.67,1.79
19,1.68,1.87,1.68,1.76
20,1.69,1.94,1.68,1.75
21,1.68,1.95,1.68,1.92
22,1.72,1.45,1.7,1.78
23,1.62,1.44,1.67,1.61
24,1.69,1.44,1.68,1.44
25,1.69,1.89,1.67,1.59
26,1.68,1.95,1.69,1.76
27,1.69,1.46,1.69,1.77
28,1.69,1.95,1.69,1.79
29,1.66,1.44,1.68,1.62
30,1.63,1.44,1.66,1.61
31,1.69,1.95,1.66,1.61
32,1.7,1.93,1.67,1.77
33,1.64,1.45,1.68,1.78
34,1.67,1.44,1.67,1.61
35,1.64,1.44,1.65,1.44
36,1.68,1.43,1.66,1.44
37,1.69,1.96,1.67,1.61
38,1.66,1.45,1.68,1.61
39,1.65,1.87,1.67,1.76
40,1.69,1.9,1.67,1.74
41,1.63,1.45,1.66,1.74
42,1.72,1.9,1.68,1.75
43,1.7,1.45,1.68,1.6
44,1.73,1.92,1.72,1.76
45,1.69,1.45,1.71,1.61
46,1.68,1.87,1.7,1.75
47,1.72,1.93,1.7,1.75
48,1.67,1.44,1.69,1.75
49,1.64,1.44,1.68,1.6
50,1.72,1.95,1.68,1.61
