run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.46,0.51,,
2,0.47,0.5,,
3,0.46,0.42,0.46,0.48
4,0.46,0.5,0.46,0.47
5,0.46,0.51,0.46,0.48
6,0.47,0.43,0.46,0.48
7,0.46,0.5,0.46,0.48
8,0.46,0.43,0.46,0.45
9,0.47,0.48,0.46,0.47
10,0.46,0.43,0.46,0.45
11,0.46,0.49,0.46,0.47
12,0.46,0.42,0.46,0.45
13,0.46,0.42,0.46,0.44
14,0.47,0.42,0.46,0.42
15,0.46,0.47,0.46,0.44
16,0.46,0.43,0.46,0.44
17,0.46,0.5,0.46,0.47
18,0.46,0.42,0.46,0.45
19,0.46,0.5,0.46,0.47
20,0.46,0.51,0.46,0.48
21,0.47,0.5,0.46,0.5
22,0.46,0.45,0.46,0.49
23,0.46,0.42,0.46,0.46
24,0.46,0.5,0.46,0.46
25,0.47,0.49,0.46,0.47
26,0.46,0.47,0.46,0.49
27,0.46,0.5,0.46,0.49
28,0.46,0.42,0.46,0.46
29,0.46,0.42,0.46,0.45
30,0.46,0.49,0.46,0.44
31,0.46,0.44,0.46,0.45
32,0.46,0.42,0.46,0.45
33,0.46,0.42,0.46,0.43
34,0.46,0.5,0.46,0.45
35,0.47,0.42,0.46,0.45
36,0.47,0.44,0.47,0.45
37,0.46,0.49,0.47,0.45
38,0.47,0.5,0.47,0.48
39,0.46,0.42,0.46,0.47
40,0.46,0.42,0.46,0.45
41,0.47,0.51,0.46,0.45
42,0.47,0.51,0.47,0.48
43,0.45,0.5,0.46,0.51
44,0.46,0.42,0.46,0.48
45,0.47,0.5,0.46,0.47
46,0.46,0.43,0.46,0.45
47,0.46,0.42,0.46,0.45
48,0.46,0.43,0.46,0.43
49,0.46,0.42,0.46,0.42
50,0.47,0.42,0.46,0.42
