run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.13,1.26,,
2,1.12,0.99,,
3,1.14,0.99,1.13,1.08
4,1.11,1.25,1.12,1.08
5,1.15,1.27,1.13,1.17
6,1.14,0.99,1.13,1.17
7,1.14,1.25,1.14,1.17
8,1.11,1.26,1.13,1.17
9,1.13,0.99,1.13,1.17
10,1.13,1.24,1.12,1.16
11,1.13,1.0,1.13,1.08
12,1.14,0.98,1.13,1.07
13,1.1,1.27,1.12,1.08
14,1.15,0.99,1.13,1.08
15,1.12,1.27,1.12,1.18
16,1.12,1.26,1.13,1.17
17,1.12,0.98,1.12,1.17
18,1.1,0.99,1.11,1.08
19,1.14,1.26,1.12,1.08
20,1.13,0.98,1.12,1.08
21,1.12,1.26,1.13,1.17
22,1.1,0.99,1.12,1.08
23,1.11,0.99,1.11,1.08
24,1.13,0.98,1.11,0.99
25,1.12,1.0,1.12,0.99
26,1.15,1.24,1.13,1.07
27,1.1,0.99,1.12,1.08
28,1.1,1.26,1.12,1.16
29,1.1,1.26,1.1,1.17
30,1.11,1.25,1.1,1.26
31,1.11,0.98,1.11,1.16
32,1.13,1.26,1.12,1.16
33,1.12,0.98,1.12,1.07
34,1.13,1.25,1.13,1.16
35,1.1,1.27,1.12,1.17
36,1.14,1.21,1.12,1.24
37,1.14,1.27,1.13,1.25
38,1.15,0.99,1.14,1.16
39,1.12,1.26,1.14,1.17
40,1.16,1.26,1.14,1.17
41,1.13,0.98,1.14,1.17
42,1.14,1.0,1.14,1.08
43,1.1,0.99,1.12,0.99
44,1.11,0.98,1.12,0.99
45,1.13,1.24,1.11,1.07
46,1.13,0.98,1.12,1.07
47,1.16,0.99,1.14,1.07
48,1.12,0.98,1.14,0.98
49,1.13,1.24,1.14,1.07
50,1.13,1.26,1.13,1.16
