run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.7,1.95,,
2,1.72,1.94,,
3,1.68,1.81,1.7,1.9
4,1.68,1.86,1.69,1.87
5,1.68,1.87,1.68,1.85
6,1.7,1.9,1.69,1.88
7,1.72,1.9,1.7,1.89
8,1.66,1.92,1.69,1.91
9,1.7,1.94,1.69,1.92
10,1.72,1.9,1.69,1.92
11,1.68,1.86,1.7,1.9
12,1.75,1.95,1.72,1.9
13,1.67,1.9,1.7,1.9
14,1.66,1.83,1.69,1.89
15,1.67,1.45,1.67,1.73
16,1.68,1.92,1.67,1.73
17,1.73,1.95,1.69,1.77
18,1.71,1.95,1.71,1.94
19,1.66,1.44,1.7,1.78
20,1.7,1.82,1.69,1.74
21,1.68,1.94,1.68,1.73
22,1.67,1.89,1.68,1.88
23,1.7,1.95,1.68,1.93
24,1.7,1.88,1.69,1.91
25,1.74,1.92,1.71,1.92
26,1.69,1.89,1.71,1.9
27,1.64,1.45,1.69,1.75
28,1.67,1.81,1.67,1.72
29,1.68,1.92,1.66,1.73
30,1.69,1.96,1.68,1.9
31,1.71,1.92,1.69,1.93
32,1.7,1.87,1.7,1.92
33,1.69,1.8,1.7,1.86
34,1.7,1.93,1.7,1.87
35,1.67,1.94,1.69,1.89
36,1.69,1.95,1.69,1.94
37,1.68,1.45,1.68,1.78
38,1.69,1.96,1.69,1.79
39,1.65,1.45,1.67,1.62
40,1.67,1.92,1.67,1.78
41,1.71,1.95,1.68,1.77
42,1.68,1.45,1.69,1.77
43,1.73,1.96,1.71,1.79
44,1.64,1.94,1.68,1.78
45,1.72,1.93,1.7,1.94
46,1.71,1.95,1.69,1.94
47,1.67,1.95,1.7,1.94
48,1.66,1.44,1.68,1.78
49,1.71,1.88,1.68,1.76
50,1.67,1.95,1.68,1.76
