run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.13,1.23,,
2,1.12,1.0,,
3,1.14,1.22,1.13,1.15
4,1.12,1.24,1.13,1.15
5,1.11,1.25,1.12,1.24
6,1.12,1.0,1.12,1.16
7,1.12,1.09,1.12,1.11
8,1.1,1.22,1.11,1.1
9,1.13,1.27,1.12,1.19
10,1.13,1.2,1.12,1.23
11,1.12,1.04,1.13,1.17
12,1.13,1.27,1.13,1.17
13,1.1,0.99,1.12,1.1
14,1.12,1.26,1.12,1.17
15,1.13,0.98,1.12,1.08
16,1.14,1.03,1.13,1.09
17,1.12,1.27,1.13,1.09
18,1.1,1.27,1.12,1.19
19,1.11,1.2,1.11,1.25
20,1.13,1.27,1.11,1.25
21,1.11,1.22,1.12,1.23
22,1.12,1.03,1.12,1.17
23,1.13,0.98,1.12,1.08
24,1.14,1.26,1.13,1.09
25,1.11,1.02,1.13,1.09
26,1.1,1.24,1.12,1.17
27,1.1,1.01,1.1,1.09
28,1.12,0.99,1.11,1.08
29,1.12,0.98,1.11,0.99
30,1.14,1.26,1.13,1.08
31,1.14,1.24,1.13,1.16
32,1.12,1.0,1.13,1.17
33,1.14,1.16,1.13,1.13
34,1.11,1.22,1.12,1.13
35,1.13,0.99,1.13,1.12
36,1.12,1.27,1.12,1.16
37,1.1,1.0,1.12,1.09
38,1.13,1.27,1.12,1.18
39,1.13,1.27,1.12,1.18
40,1.13,1.26,1.13,1.27
41,1.12,1.27,1.13,1.27
42,1.09,1.26,1.11,1.26
43,1.12,1.22,1.11,1.25
44,1.13,1.21,1.11,1.23
45,1.13,1.23,1.13,1.22
46,1.14,0.98,1.13,1.14
47,1.12,1.26,1.13,1.16
48,1.12,1.25,1.13,1.16
49,1.13,1.25,1.12,1.25
50,1.13,0.98,1.13,1.16
