run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.14,1.09,,
2,1.1,1.26,,
3,1.12,1.2,1.12,1.18
4,1.1,1.04,1.11,1.17
5,1.13,1.03,1.12,1.09
6,1.11,1.02,1.11,1.03
7,1.13,1.11,1.12,1.05
8,1.11,1.18,1.12,1.1
9,1.1,1.19,1.11,1.16
10,1.13,1.27,1.11,1.21
11,1.12,1.23,1.12,1.23
12,1.15,1.24,1.13,1.25
13,1.09,1.0,1.12,1.16
14,1.14,1.25,1.13,1.16
15,1.12,1.27,1.12,1.17
16,1.11,0.99,1.12,1.17
17,1.11,1.25,1.11,1.17
18,1.15,1.24,1.12,1.16
19,1.12,1.25,1.13,1.25
20,1.14,1.22,1.14,1.24
21,1.1,1.27,1.12,1.25
22,1.12,0.99,1.12,1.16
23,1.11,1.04,1.11,1.1
24,1.15,1.25,1.13,1.09
25,1.14,1.0,1.13,1.1
26,1.11,1.1,1.13,1.12
27,1.14,1.24,1.13,1.11
28,1.11,1.06,1.12,1.13
29,1.11,1.26,1.12,1.19
30,1.13,1.27,1.12,1.2
31,1.11,1.26,1.12,1.26
32,1.14,1.0,1.13,1.18
33,1.14,1.26,1.13,1.17
34,1.1,1.02,1.13,1.09
35,1.12,1.0,1.12,1.09
36,1.13,1.21,1.12,1.08
37,1.11,1.13,1.12,1.11
38,1.14,1.22,1.13,1.19
39,1.14,1.02,1.13,1.12
40,1.13,1.18,1.14,1.14
41,1.11,1.25,1.13,1.15
42,1.11,1.09,1.12,1.17
43,1.12,1.07,1.11,1.14
44,1.14,1.18,1.12,1.11
45,1.13,1.24,1.13,1.16
46,1.14,1.24,1.14,1.22
47,1.13,1.01,1.13,1.16
48,1.13,1.05,1.13,1.1
49,1.1,1.09,1.12,1.05
50,1.1,1.11,1.11,1.08
