run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.67,1.95,,
2,1.65,1.89,,
3,1.71,1.9,1.68,1.91
4,1.65,1.44,1.67,1.74
5,1.66,1.89,1.67,1.74
6,1.72,1.93,1.68,1.75
7,1.73,1.94,1.7,1.92
8,1.68,1.88,1.71,1.92
9,1.67,1.45,1.69,1.76
10,1.7,1.89,1.68,1.74
11,1.69,1.9,1.69,1.75
12,1.67,1.44,1.69,1.74
13,1.7,1.96,1.69,1.77
14,1.65,1.92,1.67,1.77
15,1.72,1.95,1.69,1.94
16,1.71,1.92,1.69,1.93
17,1.68,1.94,1.7,1.94
18,1.66,1.46,1.68,1.77
19,1.66,1.93,1.67,1.78
20,1.69,1.91,1.67,1.77
21,1.67,1.44,1.67,1.76
22,1.64,1.94,1.67,1.76
23,1.69,1.89,1.67,1.76
24,1.69,1.91,1.67,1.91
25,1.72,1.93,1.7,1.91
26,1.72,1.95,1.71,1.93
27,1.66,1.45,1.7,1.78
28,1.7,1.92,1.69,1.77
29,1.71,1.85,1.69,1.74
30,1.69,1.94,1.7,1.9
31,1.72,1.92,1.71,1.9
32,1.65,1.92,1.69,1.93
33,1.69,1.88,1.69,1.91
34,1.64,1.95,1.66,1.92
35,1.67,1.45,1.67,1.76
36,1.71,1.84,1.67,1.75
37,1.67,1.44,1.68,1.58
38,1.69,1.44,1.69,1.57
39,1.64,1.44,1.67,1.44
40,1.71,1.94,1.68,1.61
41,1.64,1.95,1.66,1.78
42,1.71,1.92,1.69,1.94
43,1.65,1.45,1.67,1.77
44,1.74,1.95,1.7,1.77
45,1.69,1.44,1.69,1.61
46,1.7,1.91,1.71,1.77
47,1.66,1.93,1.68,1.76
48,1.72,1.93,1.69,1.92
49,1.71,1.94,1.7,1.93
50,1.68,1.86,1.7,1.91
