run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.11,1.03,,
2,1.12,0.99,,
3,1.1,0.98,1.11,1.0
4,1.1,1.24,1.11,1.07
5,1.12,1.15,1.11,1.12
6,1.11,1.1,1.11,1.16
7,1.14,1.27,1.12,1.17
8,1.13,1.21,1.13,1.19
9,1.13,0.98,1.13,1.15
10,1.14,0.98,1.13,1.06
11,1.12,1.25,1.13,1.07
12,1.13,1.06,1.13,1.1
13,1.14,1.25,1.13,1.19
14,1.14,0.99,1.14,1.1
15,1.13,1.18,1.14,1.14
16,1.09,1.26,1.12,1.14
17,1.11,1.11,1.11,1.18
18,1.12,0.99,1.11,1.12
19,1.12,1.03,1.12,1.04
20,1.12,1.01,1.12,1.01
21,1.13,0.99,1.12,1.01
22,1.14,1.24,1.13,1.08
23,1.11,1.02,1.13,1.08
24,1.12,1.26,1.12,1.17
25,1.14,1.04,1.12,1.11
26,1.11,0.99,1.12,1.1
27,1.13,1.27,1.13,1.1
28,1.13,1.2,1.12,1.15
29,1.14,1.2,1.13,1.22
30,1.09,1.27,1.12,1.22
31,1.12,1.03,1.12,1.17
32,1.15,1.27,1.12,1.19
33,1.14,0.98,1.14,1.09
34,1.13,1.13,1.14,1.13
35,1.12,1.19,1.13,1.1
36,1.14,1.26,1.13,1.19
37,1.13,1.26,1.13,1.24
38,1.13,1.24,1.13,1.25
39,1.13,0.99,1.13,1.16
40,1.11,1.0,1.12,1.08
41,1.16,1.24,1.13,1.08
42,1.1,1.25,1.12,1.16
43,1.11,1.13,1.12,1.21
44,1.12,1.06,1.11,1.15
45,1.13,1.0,1.12,1.06
46,1.13,1.08,1.13,1.05
47,1.12,1.02,1.13,1.03
48,1.14,1.26,1.13,1.12
49,1.13,1.15,1.13,1.14
50,1.13,0.98,1.13,1.13
