run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.71,1.93,,
2,1.68,1.46,,
3,1.64,1.44,1.68,1.61
4,1.66,1.96,1.66,1.62
5,1.71,1.61,1.67,1.67
6,1.68,1.9,1.68,1.82
7,1.66,1.47,1.68,1.66
8,1.72,1.92,1.69,1.76
9,1.7,1.92,1.69,1.77
10,1.69,1.45,1.7,1.76
11,1.66,1.45,1.68,1.61
12,1.71,1.95,1.69,1.62
13,1.74,1.95,1.7,1.78
14,1.68,1.88,1.71,1.93
15,1.69,1.87,1.7,1.9
16,1.64,1.45,1.67,1.73
17,1.68,1.91,1.67,1.74
18,1.66,1.44,1.66,1.6
19,1.66,1.95,1.67,1.77
20,1.65,1.45,1.66,1.61
21,1.74,1.95,1.68,1.78
22,1.71,1.93,1.7,1.78
23,1.7,1.9,1.72,1.93
24,1.66,1.45,1.69,1.76
25,1.68,1.45,1.68,1.6
26,1.71,1.45,1.68,1.45
27,1.66,1.95,1.68,1.62
28,1.72,1.95,1.7,1.78
29,1.72,1.93,1.7,1.94
30,1.68,1.94,1.71,1.94
31,1.69,1.44,1.7,1.77
32,1.69,1.45,1.69,1.61
33,1.68,1.96,1.69,1.62
34,1.67,1.94,1.68,1.78
35,1.7,1.91,1.68,1.94
36,1.65,1.45,1.67,1.77
37,1.72,1.96,1.69,1.77
38,1.69,1.95,1.69,1.79
39,1.68,1.76,1.7,1.89
40,1.7,1.95,1.69,1.89
41,1.65,1.44,1.68,1.72
42,1.68,1.89,1.68,1.76
43,1.69,1.44,1.67,1.59
44,1.69,1.49,1.69,1.61
45,1.64,1.44,1.67,1.46
46,1.72,1.95,1.68,1.63
47,1.68,1.65,1.68,1.68
48,1.7,1.9,1.7,1.83
49,1.67,1.75,1.68,1.77
50,1.71,1.96,1.69,1.87
