run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.45,0.43,,
2,0.47,0.5,,
3,0.47,0.43,0.46,0.45
4,0.46,0.5,0.47,0.48
5,0.47,0.5,0.47,0.48
6,0.47,0.5,0.47,0.5
7,0.47,0.5,0.47,0.5
8,0.46,0.5,0.47,0.5
9,0.46,0.5,0.46,0.5
10,0.47,0.49,0.46,0.5
11,0.47,0.5,0.47,0.5
12,0.46,0.45,0.47,0.48
13,0.47,0.42,0.47,0.46
14,0.46,0.43,0.46,0.43
15,0.46,0.5,0.46,0.45
16,0.46,0.42,0.46,0.45
17,0.46,0.42,0.46,0.45
18,0.46,0.42,0.46,0.42
19,0.47,0.5,0.46,0.45
20,0.47,0.43,0.47,0.45
21,0.47,0.42,0.47,0.45
22,0.46,0.47,0.47,0.44
23,0.46,0.44,0.46,0.44
24,0.47,0.43,0.46,0.45
25,0.46,0.5,0.46,0.46
26,0.46,0.42,0.46,0.45
27,0.46,0.5,0.46,0.47
28,0.47,0.5,0.46,0.47
29,0.47,0.5,0.47,0.5
30,0.47,0.42,0.47,0.47
31,0.47,0.43,0.47,0.45
32,0.47,0.51,0.47,0.45
33,0.46,0.43,0.47,0.46
34,0.46,0.5,0.46,0.48
35,0.46,0.5,0.46,0.48
36,0.47,0.5,0.46,0.5
37,0.47,0.49,0.47,0.5
38,0.46,0.5,0.47,0.5
39,0.46,0.5,0.46,0.5
40,0.46,0.49,0.46,0.5
41,0.46,0.43,0.46,0.47
42,0.46,0.43,0.46,0.45
43,0.46,0.5,0.46,0.45
44,0.46,0.5,0.46,0.48
45,0.46,0.51,0.46,0.5
46,0.47,0.47,0.46,0.49
47,0.46,0.5,0.46,0.49
48,0.46,0.51,0.46,0.49
49,0.46,0.44,0.46,0.48
50,0.46,0.43,0.46,0.46
