run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.69,1.71,,
2,1.69,1.69,,
3,1.68,1.68,1.69,1.69
4,1.69,1.71,1.69,1.69
5,1.68,1.71,1.68,1.7
6,1.69,1.71,1.69,1.71
7,1.71,1.71,1.69,1.71
8,1.69,1.69,1.7,1.7
9,1.69,1.69,1.7,1.7
10,1.7,1.71,1.69,1.7
11,1.69,1.7,1.69,1.7
12,1.69,1.7,1.69,1.7
13,1.68,1.69,1.69,1.7
14,1.71,1.71,1.69,1.7
15,1.68,1.71,1.69,1.7
16,1.69,1.71,1.69,1.71
17,1.69,1.71,1.69,1.71
18,1.67,1.7,1.68,1.71
19,1.71,1.7,1.69,1.7
20,1.68,1.71,1.69,1.7
21,1.69,1.7,1.69,1.7
22,1.7,1.7,1.69,1.7
23,1.67,1.7,1.69,1.7
24,1.68,1.7,1.68,1.7
25,1.68,1.69,1.68,1.7
26,1.7,1.7,1.69,1.7
27,1.69,1.72,1.69,1.7
28,1.69,1.71,1.69,1.71
29,1.67,1.71,1.68,1.71
30,1.69,1.7,1.68,1.71
31,1.68,1.7,1.68,1.7
32,1.67,1.69,1.68,1.7
33,1.68,1.7,1.68,1.7
34,1.68,1.71,1.68,1.7
35,1.69,1.7,1.68,1.7
36,1.7,1.71,1.69,1.71
37,1.69,1.7,1.69,1.7
38,1.72,1.69,1.7,1.7
39,1.7,1.7,1.7,1.7
40,1.69,1.71,1.7,1.7
41,1.69,1.69,1.69,1.7
42,1.7,1.7,1.69,1.7
43,1.67,1.7,1.69,1.7
44,1.7,1.7,1.69,1.7
45,1.7,1.71,1.69,1.7
46,1.71,1.71,1.7,1.71
47,1.69,1.71,1.7,1.71
48,1.7,1.7,1.7,1.71
49,1.7,1.69,1.7,1.7
50,1.69,1.71,1.7,1.7
