run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.13,1.13,,
2,1.12,1.14,,
3,1.13,1.13,1.13,1.13
4,1.13,1.13,1.13,1.13
5,1.14,1.14,1.13,1.13
6,1.12,1.14,1.13,1.14
7,1.13,1.13,1.13,1.14
8,1.11,1.14,1.12,1.14
9,1.12,1.13,1.12,1.13
10,1.13,1.14,1.12,1.14
11,1.12,1.13,1.12,1.13
12,1.13,1.13,1.13,1.13
13,1.11,1.13,1.12,1.13
14,1.11,1.13,1.12,1.13
15,1.12,1.13,1.11,1.13
16,1.12,1.13,1.12,1.13
17,1.12,1.12,1.12,1.13
18,1.12,1.14,1.12,1.13
19,1.12,1.13,1.12,1.13
20,1.12,1.14,1.12,1.14
21,1.12,1.14,1.12,1.14
22,1.12,1.13,1.12,1.14
23,1.12,1.13,1.12,1.13
24,1.13,1.13,1.12,1.13
25,1.12,1.13,1.12,1.13
26,1.12,1.13,1.12,1.13
27,1.13,1.14,1.12,1.13
28,1.12,1.13,1.12,1.13
29,1.12,1.13,1.12,1.13
30,1.12,1.13,1.12,1.13
31,1.12,1.13,1.12,1.13
32,1.11,1.14,1.12,1.13
33,1.13,1.12,1.12,1.13
34,1.12,1.14,1.12,1.13
35,1.12,1.14,1.12,1.13
36,1.13,1.13,1.12,1.14
37,1.13,1.13,1.13,1.13
38,1.11,1.13,1.12,1.13
39,1.14,1.14,1.13,1.13
40,1.12,1.14,1.12,1.14
41,1.12,1.13,1.13,1.14
42,1.12,1.14,1.12,1.14
43,1.11,1.13,1.12,1.13
44,1.13,1.13,1.12,1.13
45,1.12,1.13,1.12,1.13
46,1.12,1.13,1.12,1.13
47,1.13,1.13,1.12,1.13
48,1.13,1.13,1.13,1.13
49,1.13,1.14,1.13,1.13
50,1.13,1.13,1.13,1.13
