run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.7,1.7,,
2,1.7,1.69,,
3,1.68,1.69,1.69,1.69
4,1.68,1.7,1.69,1.69
5,1.69,1.7,1.68,1.7
6,1.68,1.71,1.68,1.7
7,1.7,1.71,1.69,1.71
8,1.68,1.71,1.69,1.71
9,1.69,1.7,1.69,1.71
10,1.69,1.69,1.69,1.7
11,1.68,1.69,1.69,1.69
12,1.69,1.7,1.69,1.69
13,1.69,1.69,1.69,1.69
14,1.68,1.69,1.69,1.69
15,1.68,1.69,1.68,1.69
16,1.67,1.7,1.68,1.69
17,1.69,1.7,1.68,1.7
18,1.69,1.69,1.68,1.7
19,1.69,1.68,1.69,1.69
20,1.71,1.7,1.7,1.69
21,1.69,1.7,1.7,1.69
22,1.71,1.69,1.7,1.7
23,1.71,1.7,1.7,1.7
24,1.68,1.7,1.7,1.7
25,1.68,1.69,1.69,1.7
26,1.7,1.7,1.69,1.7
27,1.69,1.69,1.69,1.69
28,1.68,1.7,1.69,1.7
29,1.7,1.69,1.69,1.69
30,1.69,1.71,1.69,1.7
31,1.69,1.69,1.69,1.7
32,1.7,1.7,1.69,1.7
33,1.66,1.71,1.68,1.7
34,1.71,1.7,1.69,1.7
35,1.68,1.69,1.68,1.7
36,1.69,1.7,1.69,1.7
37,1.7,1.7,1.69,1.7
38,1.7,1.7,1.7,1.7
39,1.69,1.7,1.7,1.7
40,1.69,1.69,1.69,1.7
41,1.68,1.7,1.69,1.7
42,1.68,1.7,1.68,1.7
43,1.69,1.69,1.68,1.7
44,1.68,1.7,1.68,1.7
45,1.7,1.68,1.69,1.69
46,1.66,1.7,1.68,1.69
47,1.69,1.69,1.68,1.69
48,1.7,1.71,1.68,1.7
49,1.68,1.7,1.69,1.7
50,1.68,1.7,1.69,1.7
