run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.14,1.14,,
2,1.13,1.14,,
3,1.13,1.14,1.13,1.14
4,1.13,1.13,1.13,1.14
5,1.12,1.14,1.13,1.14
6,1.12,1.14,1.12,1.14
7,1.13,1.14,1.12,1.14
8,1.13,1.13,1.13,1.14
9,1.12,1.13,1.13,1.13
10,1.13,1.13,1.13,1.13
11,1.11,1.13,1.12,1.13
12,1.13,1.14,1.12,1.13
13,1.13,1.13,1.12,1.13
14,1.13,1.13,1.13,1.13
15,1.13,1.13,1.13,1.13
16,1.11,1.14,1.12,1.13
17,1.13,1.13,1.12,1.13
18,1.13,1.14,1.12,1.14
19,1.13,1.13,1.13,1.13
20,1.13,1.14,1.13,1.14
21,1.13,1.14,1.13,1.14
22,1.14,1.13,1.13,1.14
23,1.12,1.14,1.13,1.14
24,1.12,1.13,1.13,1.13
25,1.14,1.13,1.13,1.13
26,1.14,1.14,1.13,1.13
27,1.12,1.14,1.13,1.14
28,1.14,1.14,1.13,1.14
29,1.13,1.14,1.13,1.14
30,1.12,1.15,1.13,1.14
31,1.12,1.14,1.12,1.14
32,1.13,1.13,1.12,1.14
33,1.12,1.14,1.12,1.14
34,1.13,1.13,1.13,1.13
35,1.13,1.13,1.13,1.13
36,1.13,1.14,1.13,1.13
37,1.13,1.13,1.13,1.13
38,1.13,1.14,1.13,1.14
39,1.13,1.14,1.13,1.14
40,1.13,1.13,1.13,1.14
41,1.12,1.14,1.13,1.14
42,1.14,1.14,1.13,1.14
43,1.13,1.14,1.13,1.14
44,1.14,1.13,1.14,1.14
45,1.13,1.13,1.13,1.13
46,1.13,1.14,1.13,1.13
47,1.13,1.13,1.13,1.13
48,1.13,1.14,1.13,1.14
49,1.14,1.12,1.13,1.13
50,1.13,1.14,1.13,1.13
