run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.46,0.44,,
2,0.46,0.44,,
3,0.47,0.44,0.46,0.44
4,0.47,0.44,0.47,0.44
5,0.47,0.44,0.47,0.44
6,0.47,0.44,0.47,0.44
7,0.47,0.44,0.47,0.44
8,0.47,0.44,0.47,0.44
9,0.47,0.44,0.47,0.44
10,0.47,0.44,0.47,0.44
11,0.46,0.44,0.47,0.44
12,0.47,0.44,0.47,0.44
13,0.46,0.44,0.46,0.44
14,0.47,0.44,0.47,0.44
15,0.46,0.44,0.46,0.44
16,0.47,0.44,0.47,0.44
17,0.46,0.44,0.46,0.44
18,0.46,0.44,0.46,0.44
19,0.47,0.44,0.46,0.44
20,0.47,0.44,0.47,0.44
21,0.46,0.44,0.47,0.44
22,0.46,0.44,0.46,0.44
23,0.47,0.44,0.46,0.44
24,0.46,0.44,0.46,0.44
25,0.47,0.44,0.47,0.44
26,0.47,0.44,0.47,0.44
27,0.47,0.44,0.47,0.44
28,0.46,0.44,0.47,0.44
29,0.47,0.44,0.47,0.44
30,0.47,0.44,0.47,0.44
31,0.47,0.44,0.47,0.44
32,0.47,0.44,0.47,0.44
33,0.47,0.44,0.47,0.44
34,0.47,0.44,0.47,0.44
35,0.47,0.44,0.47,0.44
36,0.47,0.44,0.47,0.44
37,0.46,0.44,0.47,0.44
38,0.46,0.44,0.46,0.44
39,0.46,0.44,0.46,0.44
40,0.46,0.44,0.46,0.44
41,0.46,0.44,0.46,0.44
42,0.46,0.44,0.46,0.44
43,0.46,0.44,0.46,0.44
44,0.46,0.44,0.46,0.44
45,0.46,0.44,0.46,0.44
46,0.46,0.44,0.46,0.44
47,0.46,0.44,0.46,0.44
48,0.46,0.44,0.46,0.44
49,0.47,0.44,0.46,0.44
50,0.47,0.44,0.47,0.44
