run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.13,1.14,,
2,1.11,1.14,,
3,1.13,1.14,1.12,1.14
4,1.12,1.14,1.12,1.14
5,1.13,1.14,1.13,1.14
6,1.11,1.14,1.12,1.14
7,1.11,1.14,1.12,1.14
8,1.14,1.14,1.12,1.14
9,1.1,1.14,1.12,1.14
10,1.14,1.14,1.13,1.14
11,1.15,1.14,1.13,1.14
12,1.14,1.14,1.14,1.14
13,1.11,1.14,1.13,1.14
14,1.11,1.14,1.12,1.14
15,1.13,1.14,1.12,1.14
16,1.11,1.14,1.12,1.14
17,1.14,1.14,1.13,1.14
18,1.12,1.14,1.12,1.14
19,1.11,1.14,1.12,1.14
20,1.11,1.14,1.11,1.14
21,1.14,1.14,1.12,1.14
22,1.16,1.14,1.14,1.14
23,1.11,1.14,1.14,1.14
24,1.16,1.14,1.14,1.14
25,1.12,1.14,1.13,1.14
26,1.09,1.14,1.12,1.14
27,1.14,1.14,1.12,1.14
28,1.11,1.14,1.11,1.14
29,1.12,1.14,1.12,1.14
30,1.12,1.14,1.12,1.14
31,1.1,1.14,1.11,1.14
32,1.11,1.14,1.11,1.14
33,1.11,1.14,1.11,1.14
34,1.14,1.14,1.12,1.14
35,1.11,1.14,1.12,1.14
36,1.12,1.14,1.12,1.14
37,1.11,1.14,1.11,1.14
38,1.1,1.14,1.11,1.14
39,1.09,1.14,1.1,1.14
40,1.14,1.14,1.11,1.14
41,1.13,1.14,1.12,1.14
42,1.1,1.14,1.12,1.14
43,1.12,1.14,1.12,1.14
44,1.11,1.14,1.11,1.14
45,1.09,1.14,1.11,1.14
46,1.1,1.14,1.1,1.14
47,1.09,1.14,1.09,1.14
48,1.12,1.14,1.1,1.14
49,1.12,1.14,1.11,1.14
50,1.13,1.14,1.12,1.14
