run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.12,1.13,,
2,1.11,1.13,,
3,1.12,1.12,1.12,1.13
4,1.12,1.12,1.12,1.12
5,1.13,1.13,1.12,1.12
6,1.12,1.13,1.12,1.13
7,1.13,1.11,1.13,1.12
8,1.13,1.12,1.13,1.12
9,1.13,1.13,1.13,1.12
10,1.13,1.12,1.13,1.12
11,1.13,1.13,1.13,1.13
12,1.13,1.12,1.13,1.12
13,1.12,1.14,1.13,1.13
14,1.11,1.12,1.12,1.13
15,1.13,1.13,1.12,1.13
16,1.13,1.12,1.12,1.12
17,1.13,1.12,1.13,1.12
18,1.13,1.12,1.13,1.12
19,1.12,1.13,1.13,1.12
20,1.12,1.12,1.12,1.12
21,1.12,1.12,1.12,1.12
22,1.11,1.12,1.12,1.12
23,1.13,1.13,1.12,1.12
24,1.13,1.12,1.12,1.12
25,1.12,1.11,1.13,1.12
26,1.11,1.13,1.12,1.12
27,1.13,1.12,1.12,1.12
28,1.12,1.12,1.12,1.12
29,1.12,1.12,1.12,1.12
30,1.13,1.11,1.12,1.12
31,1.13,1.12,1.13,1.12
32,1.12,1.13,1.13,1.12
33,1.13,1.12,1.13,1.12
34,1.12,1.13,1.12,1.13
35,1.13,1.13,1.13,1.13
36,1.12,1.12,1.12,1.13
37,1.12,1.12,1.12,1.12
38,1.13,1.12,1.12,1.12
39,1.13,1.12,1.13,1.12
40,1.12,1.13,1.13,1.12
41,1.11,1.12,1.12,1.12
42,1.13,1.13,1.12,1.13
43,1.12,1.12,1.12,1.12
44,1.12,1.12,1.12,1.12
45,1.12,1.14,1.12,1.13
46,1.13,1.13,1.12,1.13
47,1.12,1.11,1.12,1.13
48,1.12,1.13,1.12,1.12
49,1.12,1.14,1.12,1.13
50,1.12,1.13,1.12,1.13
