run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.69,1.68,,
2,1.7,1.68,,
3,1.68,1.69,1.69,1.68
4,1.7,1.7,1.69,1.69
5,1.71,1.7,1.7,1.7
6,1.7,1.68,1.7,1.69
7,1.68,1.69,1.7,1.69
8,1.69,1.69,1.69,1.69
9,1.69,1.71,1.69,1.7
10,1.69,1.69,1.69,1.7
11,1.69,1.68,1.69,1.69
12,1.68,1.7,1.69,1.69
13,1.68,1.68,1.68,1.69
14,1.69,1.69,1.68,1.69
15,1.68,1.68,1.68,1.68
16,1.68,1.7,1.68,1.69
17,1.69,1.7,1.68,1.69
18,1.71,1.68,1.69,1.69
19,1.67,1.7,1.69,1.69
20,1.69,1.71,1.69,1.7
21,1.69,1.7,1.68,1.7
22,1.67,1.69,1.68,1.7
23,1.71,1.69,1.69,1.69
24,1.69,1.68,1.69,1.69
25,1.72,1.7,1.71,1.69
26,1.7,1.7,1.7,1.69
27,1.69,1.68,1.7,1.69
28,1.7,1.7,1.7,1.69
29,1.7,1.7,1.7,1.69
30,1.69,1.68,1.7,1.69
31,1.68,1.69,1.69,1.69
32,1.69,1.69,1.69,1.69
33,1.7,1.7,1.69,1.69
34,1.69,1.7,1.69,1.7
35,1.69,1.7,1.69,1.7
36,1.7,1.7,1.69,1.7
37,1.67,1.69,1.69,1.7
38,1.68,1.69,1.68,1.69
39,1.68,1.7,1.68,1.69
40,1.69,1.7,1.68,1.7
41,1.7,1.7,1.69,1.7
42,1.7,1.67,1.7,1.69
43,1.67,1.68,1.69,1.68
44,1.7,1.68,1.69,1.68
45,1.68,1.69,1.68,1.68
46,1.69,1.68,1.69,1.68
47,1.68,1.7,1.68,1.69
48,1.68,1.7,1.68,1.69
49,1.72,1.7,1.69,1.7
50,1.7,1.7,1.7,1.7
