run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.69,1.69,,
2,1.67,1.7,,
3,1.67,1.7,1.68,1.7
4,1.68,1.69,1.67,1.7
5,1.7,1.69,1.68,1.69
6,1.68,1.67,1.69,1.68
7,1.67,1.68,1.68,1.68
8,1.67,1.67,1.67,1.67
9,1.68,1.69,1.67,1.68
10,1.68,1.71,1.68,1.69
11,1.69,1.68,1.68,1.69
12,1.69,1.68,1.69,1.69
13,1.69,1.67,1.69,1.68
14,1.67,1.68,1.68,1.68
15,1.69,1.69,1.68,1.68
16,1.68,1.68,1.68,1.68
17,1.68,1.68,1.68,1.68
18,1.67,1.68,1.68,1.68
19,1.69,1.7,1.68,1.69
20,1.71,1.68,1.69,1.69
21,1.69,1.68,1.7,1.69
22,1.69,1.68,1.7,1.68
23,1.68,1.69,1.69,1.68
24,1.7,1.68,1.69,1.68
25,1.69,1.69,1.69,1.69
26,1.68,1.67,1.69,1.68
27,1.7,1.71,1.69,1.69
28,1.68,1.67,1.69,1.68
29,1.68,1.7,1.69,1.69
30,1.68,1.68,1.68,1.68
31,1.69,1.67,1.68,1.68
32,1.68,1.69,1.68,1.68
33,1.69,1.69,1.69,1.68
34,1.66,1.67,1.68,1.68
35,1.67,1.67,1.67,1.68
36,1.69,1.69,1.67,1.68
37,1.67,1.69,1.68,1.68
38,1.67,1.68,1.68,1.69
39,1.7,1.7,1.68,1.69
40,1.7,1.68,1.69,1.69
41,1.68,1.69,1.69,1.69
42,1.67,1.69,1.68,1.69
43,1.69,1.69,1.68,1.69
44,1.68,1.68,1.68,1.69
45,1.7,1.67,1.69,1.68
46,1.68,1.7,1.69,1.68
47,1.68,1.68,1.69,1.68
48,1.68,1.67,1.68,1.68
49,1.67,1.67,1.68,1.67
50,1.71,1.68,1.69,1.67
