run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.69,1.7,,
2,1.69,1.69,,
3,1.7,1.69,1.69,1.69
4,1.69,1.69,1.69,1.69
5,1.69,1.71,1.69,1.7
6,1.67,1.69,1.68,1.7
7,1.68,1.7,1.68,1.7
8,1.68,1.69,1.68,1.69
9,1.69,1.69,1.68,1.69
10,1.7,1.67,1.69,1.68
11,1.68,1.68,1.69,1.68
12,1.68,1.68,1.69,1.68
13,1.69,1.69,1.68,1.68
14,1.68,1.71,1.68,1.69
15,1.68,1.68,1.68,1.69
16,1.7,1.7,1.69,1.7
17,1.7,1.69,1.69,1.69
18,1.68,1.69,1.69,1.69
19,1.69,1.7,1.69,1.69
20,1.69,1.71,1.69,1.7
21,1.7,1.67,1.69,1.69
22,1.68,1.7,1.69,1.69
23,1.69,1.69,1.69,1.69
24,1.68,1.69,1.68,1.69
25,1.68,1.68,1.68,1.69
26,1.68,1.69,1.68,1.69
27,1.68,1.68,1.68,1.68
28,1.69,1.69,1.68,1.69
29,1.67,1.7,1.68,1.69
30,1.69,1.68,1.68,1.69
31,1.69,1.68,1.68,1.69
32,1.68,1.69,1.69,1.68
33,1.69,1.68,1.69,1.68
34,1.67,1.7,1.68,1.69
35,1.68,1.69,1.68,1.69
36,1.7,1.69,1.68,1.69
37,1.7,1.67,1.69,1.68
38,1.69,1.68,1.7,1.68
39,1.69,1.68,1.69,1.68
40,1.69,1.68,1.69,1.68
41,1.7,1.69,1.69,1.68
42,1.69,1.67,1.69,1.68
43,1.7,1.69,1.7,1.68
44,1.69,1.69,1.69,1.68
45,1.67,1.68,1.69,1.69
46,1.68,1.69,1.68,1.69
47,1.7,1.68,1.68,1.68
48,1.7,1.67,1.69,1.68
49,1.7,1.7,1.7,1.68
50,1.68,1.69,1.69,1.69
