run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.66,1.68,,
2,1.68,1.68,,
3,1.67,1.68,1.67,1.68
4,1.66,1.67,1.67,1.68
5,1.69,1.69,1.67,1.68
6,1.68,1.68,1.68,1.68
7,1.68,1.67,1.68,1.68
8,1.67,1.67,1.68,1.67
9,1.7,1.68,1.68,1.67
10,1.69,1.7,1.69,1.68
11,1.68,1.69,1.69,1.69
12,1.66,1.69,1.68,1.69
13,1.68,1.68,1.67,1.69
14,1.68,1.68,1.67,1.68
15,1.69,1.66,1.68,1.67
16,1.67,1.68,1.68,1.67
17,1.68,1.69,1.68,1.68
18,1.69,1.67,1.68,1.68
19,1.69,1.68,1.69,1.68
20,1.67,1.69,1.68,1.68
21,1.68,1.68,1.68,1.68
22,1.68,1.69,1.68,1.69
23,1.69,1.68,1.68,1.68
24,1.69,1.69,1.69,1.69
25,1.67,1.65,1.68,1.67
26,1.66,1.69,1.67,1.68
27,1.69,1.68,1.67,1.67
28,1.68,1.69,1.68,1.69
29,1.69,1.68,1.69,1.68
30,1.68,1.68,1.68,1.68
31,1.68,1.68,1.68,1.68
32,1.68,1.67,1.68,1.68
33,1.68,1.67,1.68,1.67
34,1.67,1.68,1.68,1.67
35,1.68,1.68,1.68,1.68
36,1.66,1.69,1.67,1.68
37,1.69,1.68,1.68,1.68
38,1.66,1.68,1.67,1.68
39,1.69,1.67,1.68,1.68
40,1.68,1.68,1.68,1.68
41,1.69,1.7,1.69,1.68
42,1.66,1.66,1.68,1.68
43,1.68,1.67,1.68,1.68
44,1.68,1.68,1.67,1.67
45,1.67,1.69,1.68,1.68
46,1.69,1.67,1.68,1.68
47,1.7,1.68,1.69,1.68
48,1.68,1.67,1.69,1.67
49,1.69,1.69,1.69,1.68
50,1.69,1.68,1.69,1.68
