Matchup,Shock,Model,Agent1_Avg_Prices,Theo_Prices,Agent2_Avg_Prices,Theo_Prices_2,Agent1_Delta,Agent2_Delta,Agent1_RPDI,Agent2_RPDI
Q vs Q,0,LOGIT,1.63,1.47,1.63,1.47,0.36,0.36,0.36,0.36
Q vs Q,0,HOTELLING,1.12,1,1.12,1,0.43,0.44,0.48,0.47
Q vs Q,0,LINEAR,0.46,0.43,0.46,0.43,0.04,0.04,0.48,0.49
Q vs Q,A,LOGIT,1.64,1.8,1.65,1.8,-1.61,-1.74,-0.54,-0.51
Q vs Q,A,HOTELLING,1.12,1,1.14,1,0.51,0.47,0.5,0.54
Q vs Q,A,LINEAR,0.47,0.43,0.47,0.43,0.74,0.74,0.52,0.56
Q vs Q,B,LOGIT,1.63,1.54,1.64,1.54,0.2,0.15,0.23,0.25
Q vs Q,B,HOTELLING,1.12,1,1.12,1,0.44,0.42,0.47,0.47
Q vs Q,B,LINEAR,0.46,0.43,0.46,0.43,0.11,0.09,0.48,0.49
Q vs Q,C,LOGIT,1.65,1.91,1.66,1.91,-2.97,-3.1,-0.93,-0.91
Q vs Q,C,HOTELLING,1.13,1,1.13,1,0.5,0.47,0.51,0.52
Q vs Q,C,LINEAR,0.47,0.43,0.47,0.43,1.32,1.3,0.52,0.54
Q vs PSO,0,LOGIT,1.6,1.47,1.68,1.47,0.71,0.28,0.29,0.47
Q vs PSO,0,HOTELLING,1.09,1,1.14,1,0.58,0.33,0.36,0.57
Q vs PSO,0,LINEAR,0.44,0.43,0.44,0.43,0.01,0.02,0.15,0.14
Q vs PSO,A,LOGIT,1.62,1.8,1.68,1.8,-0.95,-1.66,-0.61,-0.39
Q vs PSO,A,HOTELLING,1.13,1,1.14,1,0.54,0.5,0.5,0.58
Q vs PSO,A,LINEAR,0.47,0.43,0.44,0.43,0.7,0.68,0.54,0.14
Q vs PSO,B,LOGIT,1.6,1.54,1.68,1.54,0.56,0.06,0.15,0.36
Q vs PSO,B,HOTELLING,1.11,1,1.14,1,0.56,0.42,0.44,0.57
Q vs PSO,B,LINEAR,0.46,0.43,0.44,0.43,0.05,0.12,0.47,0.14
Q vs PSO,C,LOGIT,1.64,1.91,1.68,1.91,-2.26,-2.85,-0.99,-0.81
Q vs PSO,C,HOTELLING,1.13,1,1.14,1,0.56,0.53,0.53,0.57
Q vs PSO,C,LINEAR,0.47,0.43,0.44,0.43,1.27,1.19,0.52,0.14
Q vs DQN,0,LOGIT,1.66,1.47,1.65,1.47,0.4,0.43,0.41,0.4
Q vs DQN,0,HOTELLING,1.13,1,1.11,1,0.41,0.47,0.5,0.45
Q vs DQN,0,LINEAR,0.46,0.43,0.47,0.43,0.04,0.04,0.5,0.52
